title,sq_mt_built,n_rooms,n_bathrooms,floor,rent_price,buy_price,house_type_id,is_renewal_needed,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,Neighborhood_code,Neighborhood_name,District_code,District_name
 Chalet pareado en venta en Peñagrande,398.0,6,4,Otro,2470,890000,Casa o chalet,False,False,True,True,False,False,True,True,True,False,False,False,False,en trámite,True,53, Peñagrande,8, Fuencarral
Piso en venta en Pilar,72.0,3,1,3,979,220000,Pisos,True,False,False,True,True,True,False,False,True,False,False,False,False,en trámite,False,54, Pilar,8, Fuencarral
Piso en venta en Pilar,72.0,3,1,1,910,198000,Pisos,True,False,True,True,True,True,False,False,True,False,False,False,False,en trámite,False,54, Pilar,8, Fuencarral
Piso en venta en calle valcarlos,96.0,2,2,1,1462,410000,Pisos,False,False,True,True,True,True,False,True,False,False,True,True,True,E,True,51, Las Tablas,8, Fuencarral
Piso en venta en Mirasierra,97.0,3,1,Bajo,1393,380000,Pisos,False,False,False,True,True,True,False,True,False,False,True,False,True,en trámite,False,56, Mirasierra,8, Fuencarral
 Chalet adosado en venta en Peñagrande,505.0,6,5,Otro,2512,995000,Casa o chalet,False,False,True,True,False,False,True,True,True,True,True,False,False,en trámite,True,53, Peñagrande,8, Fuencarral
Piso en venta en Las Tablas,150.0,4,2,1,1781,550000,Pisos,False,False,True,False,True,True,False,False,False,False,True,False,False,no indicado,True,51, Las Tablas,8, Fuencarral
Ático en venta en calle del Monasterio de las Batuecas,95.0,2,2,5,1705,517000,Áticos,False,False,True,True,True,True,False,True,True,False,True,False,True,F,True,52, Montecarmelo,8, Fuencarral
 Casa o chalet independiente en venta en Mirasierra,435.0,5,5,Otro,-8628,1690000,Casa o chalet,False,False,False,True,False,False,True,True,True,False,True,False,False,en trámite,True,56, Mirasierra,8, Fuencarral
Piso en venta en Fuentelarreina,300.0,5,4,2,2470,890000,Pisos,False,False,False,True,True,True,False,True,True,False,True,False,True,en trámite,True,49, Fuentelarreina,8, Fuencarral
Piso en venta en Fuentelarreina,302.0,5,4,2,2512,995000,Pisos,False,False,True,True,True,True,False,True,True,False,True,False,True,en trámite,True,49, Fuentelarreina,8, Fuencarral
 Chalet adosado en venta en Mirasierra,381.0,6,3,Otro,712,1330000,Casa o chalet,False,False,False,True,False,False,True,True,True,True,True,False,False,D,True,56, Mirasierra,8, Fuencarral
"Piso en venta en calle Isla Tabarca, 44",80.0,3,1,8,1038,240000,Pisos,False,False,False,False,True,True,False,False,False,False,False,False,False,no indicado,False,53, Peñagrande,8, Fuencarral
Piso en venta en calle Sangenjo,101.0,4,2,6,1416,390000,Pisos,False,False,False,False,True,True,False,False,False,False,True,True,True,no indicado,True,50, La Paz,8, Fuencarral
Piso en venta en calle Cerro del Castañar,98.0,4,2,1,1416,390000,Pisos,False,False,False,True,True,True,False,True,True,False,False,False,False,en trámite,False,56, Mirasierra,8, Fuencarral
 Chalet adosado en venta en calle Antonia Baena,383.0,5,5,Otro,2417,850000,Casa o chalet,False,False,False,False,False,False,True,True,True,False,False,False,False,D,False,53, Peñagrande,8, Fuencarral
 Casa o chalet independiente en venta en Mirasierra,950.0,6,5,Otro,-49857,2190000,Casa o chalet,False,False,False,False,False,False,True,True,False,False,False,False,False,en trámite,True,56, Mirasierra,8, Fuencarral
 Chalet adosado en venta en calle de Otero y Delage,170.0,3,2,Otro,1885,595000,Casa o chalet,False,False,True,True,False,False,False,False,True,False,False,False,False,en trámite,False,53, Peñagrande,8, Fuencarral
Piso en venta en calle Buitrago del Lozoya,53.0,1,1,3,1038,240000,Pisos,False,False,False,True,True,True,False,True,False,False,True,False,False,en trámite,True,53, Peñagrande,8, Fuencarral
 Casa o chalet en venta en Peñagrande,132.0,4,4,Otro,1733,529000,Casa o chalet,False,False,True,True,False,False,True,False,True,False,True,False,False,D,True,53, Peñagrande,8, Fuencarral
Piso en venta en Pilar,99.0,3,1,5,1393,380000,Pisos,False,False,False,True,True,False,False,False,True,False,False,True,False,no indicado,True,54, Pilar,8, Fuencarral
Piso en venta en Pilar,91.0,3,1,3,1248,319000,Pisos,True,False,False,True,True,True,False,False,True,False,True,True,True,G,True,54, Pilar,8, Fuencarral
"Piso en venta en calle Ginzo de Limia, 60",151.0,4,2,6,1485,420000,Pisos,False,False,False,False,True,True,False,False,True,False,True,True,True,en trámite,True,50, La Paz,8, Fuencarral
Piso en venta en calle de Antonio López Aguado,106.0,3,2,1,1437,399000,Pisos,False,False,False,True,True,True,False,False,True,False,False,True,False,F,False,50, La Paz,8, Fuencarral
Piso en venta en calle de Nuestra Señora de Valverde,179.0,3,2,3,1906,604000,Pisos,False,False,True,True,True,True,False,True,True,True,True,True,True,A,True,55, Tres Olivos,8, Fuencarral
 Chalet pareado en venta en calle Antonia Baena,383.0,4,4,Otro,2417,850000,Casa o chalet,False,False,False,False,False,False,True,True,False,False,False,False,False,en trámite,False,53, Peñagrande,8, Fuencarral
"Piso en venta en plaza de Verín, 9",68.0,2,1,1,913,199000,Pisos,False,False,True,False,True,True,False,False,False,False,False,False,False,F,False,54, Pilar,8, Fuencarral
Piso en venta en calle Grañón,95.0,2,2,1,1368,369000,Pisos,False,False,True,True,True,True,False,True,False,False,True,True,True,no indicado,True,51, Las Tablas,8, Fuencarral
Piso en venta en plaza de Ribadeo,60.0,2,1,5,884,189900,Pisos,True,False,False,False,True,True,False,False,True,False,False,False,False,en trámite,False,54, Pilar,8, Fuencarral
Piso en venta en plaza de Mondariz,67.0,3,1,1,961,214000,Pisos,False,False,False,False,True,True,False,False,False,False,False,True,False,F,False,54, Pilar,8, Fuencarral
Piso en venta en calle de Villava,114.0,3,2,4,1621,480000,Pisos,False,False,False,True,True,True,False,True,False,False,True,True,True,no indicado,True,51, Las Tablas,8, Fuencarral
Piso en venta en calle Sangenjo,94.0,3,1,4,1323,350000,Pisos,True,False,False,False,True,True,False,False,False,False,False,True,False,no indicado,True,50, La Paz,8, Fuencarral
Piso en venta en calle de Ribadavia,96.0,4,1,4,1174,290000,Pisos,False,False,True,False,True,True,False,False,True,False,False,True,False,no indicado,False,54, Pilar,8, Fuencarral
" Chalet adosado en venta en calle Antonia Baena, 15",384.0,5,4,Otro,2417,850000,Casa o chalet,True,False,False,True,False,False,False,False,False,False,True,False,False,D,True,53, Peñagrande,8, Fuencarral
Piso en venta en avenida de Betanzos,55.0,2,1,1,813,169000,Pisos,False,False,False,False,True,False,False,False,False,False,False,False,False,F,False,54, Pilar,8, Fuencarral
Piso en venta en Tres Olivos - Valverde,70.0,3,1,Otro,847,179000,Pisos,False,False,False,False,False,True,False,False,True,False,False,False,False,no indicado,False,55, Tres Olivos,8, Fuencarral
Piso en venta en calle de Fermín Caballero,94.0,3,1,4,1213,305000,Pisos,False,False,True,True,True,True,False,False,False,False,False,False,False,E,False,50, La Paz,8, Fuencarral
 Chalet pareado en venta en Peñagrande,398.0,6,4,Otro,2470,890000,Casa o chalet,False,False,True,False,False,False,True,True,False,False,False,False,False,no indicado,True,53, Peñagrande,8, Fuencarral
"Piso en venta en avenida del Cardenal Herrera Oria, 292",394.0,6,4,2,539,1343500,Pisos,False,False,False,False,False,True,False,False,False,False,False,False,False,en trámite,False,53, Peñagrande,8, Fuencarral
"Piso en venta en calle san modesto, 44",113.0,3,2,7,1416,390000,Pisos,False,False,True,True,True,True,False,False,True,False,True,False,True,E,False,50, La Paz,8, Fuencarral
Piso en venta en Pilar,69.0,3,1,3,976,219000,Pisos,False,False,False,True,True,False,False,False,True,False,False,True,False,no indicado,False,54, Pilar,8, Fuencarral
Piso en venta en calle Gloria Fuertes,215.0,5,3,2,2360,815000,Pisos,False,False,True,True,True,True,False,True,True,True,True,False,True,A,True,48, Arroyo del Fresno,8, Fuencarral
Piso en venta en Pilar,80.0,3,1,1,1038,240000,Pisos,True,False,False,True,True,True,False,False,False,False,False,True,False,no indicado,False,54, Pilar,8, Fuencarral
" Casa o chalet independiente en venta en Urb. Mirasierra Everyprop.com, Mirasierra",680.0,6,5,Otro,-65933,2300000,Casa o chalet,False,False,True,True,False,False,True,True,True,True,True,False,False,C,True,56, Mirasierra,8, Fuencarral
" Chalet pareado en venta en Urb. Peñagrande Everyprop.com, Peñagrande",387.0,5,5,Otro,2503,1010000,Casa o chalet,False,False,True,True,False,False,True,False,True,True,True,False,False,C,True,53, Peñagrande,8, Fuencarral
" Chalet adosado en venta en Urb. Mirasierra, Mirasierra",395.0,6,5,Otro,1165,1290000,Casa o chalet,False,False,False,False,False,False,False,False,True,False,True,False,False,E,True,56, Mirasierra,8, Fuencarral
Piso en venta en Peñagrande,91.0,3,2,8,1370,369900,Pisos,True,False,True,True,True,False,False,True,True,False,False,True,True,no indicado,True,53, Peñagrande,8, Fuencarral
Piso en venta en plaza de Padrón,55.0,2,1,2,851,179999,Pisos,False,False,False,False,True,True,False,False,False,False,False,True,False,no indicado,False,54, Pilar,8, Fuencarral
Piso en venta en Peñagrande,70.0,3,1,9,945,209000,Pisos,True,False,False,False,True,False,False,False,True,False,False,True,False,G,False,53, Peñagrande,8, Fuencarral
Piso en venta en Arroyo del Fresno,153.0,4,3,3,2314,789900,Pisos,False,False,True,True,True,True,False,True,True,False,True,True,True,A,True,48, Arroyo del Fresno,8, Fuencarral
Piso en venta en Las Tablas,125.0,3,2,6,1735,530000,Pisos,False,False,False,True,True,True,False,True,True,False,True,True,True,en trámite,True,51, Las Tablas,8, Fuencarral
Piso en venta en Mirasierra,192.0,5,4,3,2439,865000,Pisos,False,False,False,True,True,True,False,True,False,False,False,True,True,G,True,56, Mirasierra,8, Fuencarral
Piso en venta en avenida de Monforte de Lemos,80.0,3,1,6,1148,280000,Pisos,True,False,False,False,True,True,False,False,False,False,False,True,True,no indicado,False,50, La Paz,8, Fuencarral
Piso en venta en Pilar,60.0,2,1,1,942,208000,Pisos,False,False,True,True,True,True,False,False,True,False,True,False,False,G,True,54, Pilar,8, Fuencarral
Piso en venta en Pilar,61.0,2,1,3,833,175000,Pisos,True,False,True,False,True,False,False,False,False,False,True,True,False,no indicado,False,54, Pilar,8, Fuencarral
 Casa o chalet en venta en Arroyo del Fresno,375.0,5,4,Otro,2514,990000,Casa o chalet,False,False,True,True,False,False,True,True,True,False,False,False,False,G,True,48, Arroyo del Fresno,8, Fuencarral
Piso en venta en La Paz,219.0,5,3,2,2331,798938,Pisos,False,False,True,True,True,True,False,True,True,False,False,True,True,G,True,50, La Paz,8, Fuencarral
