sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,house_type_id,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,District_code
95.0,3,1,10,112000,1,False,False,False,False,False,False,False,True,False,True,False,False,False,21
30.0,1,1,10,59000,1,False,False,False,False,True,False,False,False,False,False,True,True,False,21
53.0,1,1,6,146000,1,False,False,True,True,True,False,True,True,False,True,False,False,True,21
125.0,3,3,7,275000,3,False,False,False,True,True,False,True,True,False,True,False,True,False,21
153.0,4,2,1,178000,1,False,True,True,True,True,False,False,False,False,True,True,True,True,21
66.0,2,1,2,96000,1,False,True,True,False,True,False,False,False,False,False,False,False,False,21
63.0,3,1,4,82000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
59.0,2,1,11,126900,1,False,False,False,False,False,False,False,True,False,False,False,False,False,21
95.0,3,1,10,199000,1,False,False,True,False,True,False,True,False,False,True,False,True,True,21
65.0,2,1,2,232000,1,False,False,False,True,True,False,False,False,False,True,False,False,True,21
69.0,2,1,1,240000,1,False,False,False,True,True,False,True,False,False,False,False,False,False,21
115.0,4,2,11,330000,1,False,False,False,True,False,False,False,False,False,True,False,True,False,21
60.0,3,1,3,120000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
90.0,3,2,4,172000,1,False,True,True,True,True,False,False,False,False,True,False,True,True,21
60.0,3,1,2,82260,1,False,False,False,True,True,False,False,True,False,False,False,False,False,21
65.0,2,1,10,109000,1,False,False,False,True,True,False,False,False,False,False,True,False,False,21
115.0,4,1,1,133000,1,False,False,False,True,True,False,False,True,False,True,False,True,False,21
83.0,3,2,1,111000,1,False,False,False,True,True,False,False,False,False,False,False,False,False,21
55.0,2,1,2,110000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
80.0,2,2,1,179990,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
68.0,3,1,1,156000,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
89.0,2,2,1,228000,1,False,False,False,True,True,False,False,False,False,False,False,False,False,21
61.0,3,1,4,89000,1,False,True,True,False,True,False,False,False,False,False,False,False,False,21
67.0,3,1,3,119000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
68.0,3,1,2,94000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
92.0,3,2,4,175000,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
70.0,3,1,2,90000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
63.0,3,1,1,167000,1,False,False,False,True,True,False,False,False,False,False,False,False,False,21
57.0,3,1,5,96000,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
63.0,3,1,3,84000,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
52.0,2,1,4,101000,1,False,True,False,False,False,False,False,False,False,False,False,False,False,21
125.0,3,2,1,210000,1,False,False,True,True,True,False,False,False,False,True,True,True,True,21
125.0,3,3,1,275000,2,False,True,False,True,False,False,True,True,False,True,False,False,False,21
75.0,3,1,2,131400,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
71.0,3,1,11,131400,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
80.0,3,1,1,95000,1,False,True,False,False,True,False,False,True,False,False,False,False,False,21
66.0,3,1,1,93000,1,False,True,False,False,True,False,False,True,True,False,False,False,False,21
95.0,2,2,10,154500,1,False,False,False,True,False,False,False,True,False,False,False,False,False,21
61.0,3,1,4,100000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
42.0,4,1,10,95900,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
85.0,3,1,1,154900,1,False,True,False,False,True,False,False,True,False,False,False,False,True,21
80.0,2,1,3,115000,1,False,False,True,True,True,False,False,True,False,True,False,True,False,21
55.0,2,1,3,96000,1,False,False,True,False,True,False,False,True,False,False,False,False,False,21
60.0,2,1,3,95000,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
55.0,3,1,1,78000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
93.0,3,1,10,128500,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
